County FIPS,Total Population 2055,Affected Population 2055,Total Population 2080,Affected Population 2080,Total Population 2100,Affected Population 2100,
38021,5553.492797,0.000000,5721.354983,0.000000,5857.824414,0.000000,
38023,1883.534517,0.000000,1807.844686,0.000000,1757.753124,0.000000,
38025,3915.954631,0.000000,4152.944886,0.000000,4347.779088,0.000000,
38027,2342.829415,0.000000,2326.851924,0.000000,2315.756473,0.000000,
38029,3510.796950,0.000000,3510.691270,0.000000,3517.252731,0.000000,
38031,3967.996864,0.000000,4335.578083,0.000000,4633.762603,0.000000,
38033,1700.899788,0.000000,1716.283008,0.000000,1729.881390,0.000000,
38035,99467.124830,0.000000,117664.940990,0.000000,132248.701552,0.000000,
38037,2423.240421,0.000000,2454.856037,0.000000,2484.820205,0.000000,
38039,2440.306209,0.000000,2464.007223,0.000000,2485.611393,0.000000,
38041,2336.517042,0.000000,2285.061703,0.000000,2250.522362,0.000000,
38043,2464.204458,0.000000,2486.297175,0.000000,2504.274578,0.000000,
38045,4032.221293,0.000000,3988.550750,0.000000,3960.704587,0.000000,
38047,1894.666991,0.000000,1852.312853,0.000000,1824.481683,0.000000,
38049,5210.230158,0.000000,5133.309954,0.000000,5081.551959,0.000000,
38051,2873.669891,0.000000,2930.330203,0.000000,2980.419880,0.000000,
38053,7879.999448,0.000000,8758.148777,0.000000,9467.127532,0.000000,
38055,10306.896562,0.000000,11070.129477,0.000000,11683.975040,0.000000,
38057,12048.682999,0.000000,14034.449295,0.000000,15623.243518,0.000000,
38059,39645.453960,0.000000,46440.361209,0.000000,51887.616073,0.000000,
38061,9002.178612,0.000000,9721.209000,0.000000,10302.234479,0.000000,
38063,3118.759974,0.000000,3152.490824,0.000000,3187.699168,0.000000,
38065,2104.015104,0.000000,2254.930144,0.000000,2378.088245,0.000000,
38067,8170.974342,0.000000,8622.995623,0.000000,8993.998473,0.000000,
38069,5206.848674,0.000000,5716.346625,0.000000,6135.470669,0.000000,
38071,14582.076594,0.000000,16377.790594,0.000000,17823.719535,0.000000,
38073,5793.086801,0.000000,6003.648504,0.000000,6179.313182,0.000000,
38075,2387.692014,0.000000,2355.028418,0.000000,2332.911880,0.000000,
38077,20330.000277,0.000000,22580.473224,0.000000,24385.619095,0.000000,
38079,19728.587013,0.000000,22963.792910,0.000000,25558.960842,0.000000,
38081,4016.854104,0.000000,4144.143283,0.000000,4252.726905,0.000000,
38083,1153.892517,0.000000,1091.397871,0.000000,1050.301920,0.000000,
38085,5575.841071,0.000000,6386.304868,0.000000,7040.573718,0.000000,
38087,623.617157,0.000000,585.833305,0.000000,561.261977,0.000000,
38089,35715.232075,0.000000,42074.041608,0.000000,47163.625292,0.000000,
38091,1820.582351,0.000000,1771.291611,0.000000,1738.291555,0.000000,
38093,27943.633167,0.000000,31776.407619,0.000000,34854.716951,0.000000,
38095,2122.246524,0.000000,2076.857820,0.000000,2046.298482,0.000000,
38097,9218.320277,0.000000,9857.342073,0.000000,10375.031875,0.000000,
38099,13265.898523,0.000000,14549.950599,0.000000,15595.728881,0.000000,
38101,90621.819569,0.000000,106735.138056,0.000000,119632.642753,0.000000,
38103,4349.655181,0.000000,4463.215060,0.000000,4564.842502,0.000000,
38105,32658.263990,0.000000,38292.396799,0.000000,42818.922541,0.000000,
39001,38749.303576,0.000000,44397.972692,0.000000,48918.811036,0.000000,
