County FIPS,Total Population 2042,Affected Population 2042,Total Population 2059,Affected Population 2059,Total Population 2071,Affected Population 2071,Total Population 2082,Affected Population 2082,Total Population 2091,Affected Population 2091,Total Population 2100,Affected Population 2100,
19087,23727.085351,0.000000,25637.586159,0.000000,26987.719209,0.000000,28226.244070,0.000000,29240.130808,0.000000,30254.449104,0.000000,
19089,10191.706836,0.000000,10522.503885,0.000000,10756.316143,0.000000,10970.826334,0.000000,11146.446214,0.000000,11322.154475,0.000000,
19091,10901.363899,0.000000,11488.072408,0.000000,11904.346770,0.000000,12287.183108,0.000000,12601.176174,0.000000,12915.772453,0.000000,
19093,7457.487662,0.000000,7659.112943,0.000000,7802.555857,0.000000,7934.704555,0.000000,8043.228779,0.000000,8152.071383,0.000000,
19095,18769.626873,0.000000,20060.668567,0.000000,20971.992115,0.000000,21807.372034,0.000000,22490.864696,0.000000,23174.357357,0.000000,
19097,23960.270078,0.000000,26131.302899,0.000000,27664.133858,0.000000,29069.428219,0.000000,30219.336492,0.000000,31369.341428,0.000000,
19099,44214.087634,0.000000,48166.955254,0.000000,50961.631482,0.000000,53525.993841,0.000000,55625.669647,0.000000,57726.572560,0.000000,
19101,19729.401405,0.000000,21246.194798,0.000000,22318.766901,0.000000,23303.072021,0.000000,24109.091823,0.000000,24915.648239,0.000000,
19103,177810.614628,0.000000,202804.698512,0.000000,220447.581254,0.000000,236620.223767,0.000000,249852.385824,0.000000,263084.547880,0.000000,
19105,24297.340261,0.000000,26225.699410,0.000000,27587.857138,0.000000,28837.068118,0.000000,29859.495205,0.000000,30882.195161,0.000000,
19107,10328.640866,0.000000,10277.670260,0.000000,10252.855838,0.000000,10236.629199,0.000000,10227.308218,0.000000,10221.098757,0.000000,
19109,16659.943909,0.000000,17259.168098,0.000000,17686.679850,0.000000,18081.228016,0.000000,18405.662822,0.000000,18731.379114,0.000000,
19111,41631.828774,0.000000,44816.233504,0.000000,47084.799986,0.000000,49176.401684,0.000000,50895.026462,0.000000,52619.394785,0.000000,
19113,280536.619422,0.000000,317651.343932,0.000000,343885.323183,0.000000,367953.684877,0.000000,387658.404382,0.000000,407372.869595,0.000000,
19115,13472.212554,0.000000,14535.105249,0.000000,15286.163469,0.000000,15975.093857,0.000000,16539.045332,0.000000,17103.219235,0.000000,
19117,9295.246476,0.000000,9541.007916,0.000000,9720.592014,0.000000,9888.771631,0.000000,10028.531348,0.000000,10169.987488,0.000000,
19119,12704.142657,0.000000,13295.281698,0.000000,13716.611354,0.000000,14105.201197,0.000000,14424.578024,0.000000,14745.088254,0.000000,
19121,17883.471533,0.000000,19055.982856,0.000000,19884.653188,0.000000,20644.864011,0.000000,21267.217988,0.000000,21889.858770,0.000000,
19123,25105.037191,0.000000,26605.978207,0.000000,27677.326375,0.000000,28666.294371,0.000000,29479.623360,0.000000,30296.227508,0.000000,
19125,40920.888104,0.000000,44952.082728,0.000000,47803.246565,0.000000,50420.094815,0.000000,52563.144301,0.000000,54707.761430,0.000000,
19127,48844.454215,0.000000,53206.375623,0.000000,56292.167999,0.000000,59124.793270,0.000000,61444.819391,0.000000,63766.757226,0.000000,
19129,17845.326140,0.000000,19343.390455,0.000000,20402.775815,0.000000,21375.007878,0.000000,22171.156506,0.000000,22967.845617,0.000000,
19131,11556.483161,0.000000,11975.085149,0.000000,12271.645897,0.000000,12544.125036,0.000000,12767.447045,0.000000,12991.072380,0.000000,
19133,9259.385548,0.000000,9290.919918,0.000000,9319.658230,0.000000,9349.783229,0.000000,9376.724261,0.000000,9405.468816,0.000000,
19135,8311.712862,0.000000,8423.464065,0.000000,8509.021852,0.000000,8591.345555,0.000000,8661.063787,0.000000,8732.639873,0.000000,
19137,11589.041256,0.000000,12052.501964,0.000000,12386.036916,0.000000,12695.516715,0.000000,12951.000437,0.000000,13208.275150,0.000000,
19139,52486.184307,0.000000,57639.376231,0.000000,61280.195720,0.000000,64619.544722,0.000000,67352.919850,0.000000,70087.229597,0.000000,
19141,15775.465424,0.000000,16528.133130,0.000000,17062.173968,0.000000,17553.324071,0.000000,17956.156486,0.000000,18359.764306,0.000000,
19143,6852.100964,0.000000,7074.483151,0.000000,7235.414169,0.000000,7385.252156,0.000000,7509.256585,0.000000,7634.372332,0.000000,
19145,16971.896477,0.000000,17572.447114,0.000000,18010.803858,0.000000,18421.040082,0.000000,18761.779610,0.000000,19106.518107,0.000000,
19147,10097.308817,0.000000,10450.091109,0.000000,10702.300622,0.000000,10935.364142,0.000000,11127.192441,0.000000,11319.920579,0.000000,
19149,29810.919404,0.000000,32372.080802,0.000000,34180.555595,0.000000,35838.676233,0.000000,37195.535726,0.000000,38552.565776,0.000000,
19151,7411.788070,0.000000,7492.026506,0.000000,7557.615454,0.000000,7622.923319,0.000000,7679.484153,0.000000,7738.492993,0.000000,
19153,564630.210612,0.000000,635909.959140,0.000000,686291.206027,0.000000,732512.595484,0.000000,770353.484322,0.000000,808212.761152,0.000000,
19155,115344.551001,0.000000,127136.870212,0.000000,135475.318943,0.000000,143127.362937,0.000000,149393.272215,0.000000,155663.236392,0.000000,
19157,22163.292453,0.000000,23849.473452,0.000000,25042.271836,0.000000,26137.167638,0.000000,27033.902637,0.000000,27931.356282,0.000000,
19159,5006.894095,0.000000,4977.925749,0.000000,4967.526072,0.000000,4963.804398,0.000000,4964.260405,0.000000,4967.454451,0.000000,
